name,coordinates
South Greenhouse,"{""rings"": [[[-83.9369234, 35.944283], [-83.9371903, 35.9446006], [-83.9369863, 35.9447174], [-83.9367178, 35.9443948], [-83.9369234, 35.944283]]]}"
Presidential Court Building,"{""rings"": [[[-83.9344011, 35.9526635], [-83.9340382, 35.9529243], [-83.9335808, 35.9525039], [-83.9339487, 35.9522376], [-83.9344011, 35.9526635]]]}"
Temple Hall,"{""rings"": [[[-83.9320772, 35.9525691], [-83.9319716, 35.9526419], [-83.9315887, 35.9522857], [-83.931686, 35.9522098], [-83.9317698, 35.9522795], [-83.9317962, 35.9522586], [-83.9320221, 35.9524665], [-83.9319915, 35.9524869], [-83.9320772, 35.9525691]]]}"
Racheff Research Building,"{""rings"": [[[-83.9394882, 35.9486074], [-83.939313, 35.9486995], [-83.939122, 35.9484613], [-83.9392971, 35.9483692], [-83.9394882, 35.9486074]]]}"
Burchfiel Geography Building,"{""rings"": [[[-83.9277362, 35.9566114], [-83.9273589, 35.9567517], [-83.9272628, 35.9565825], [-83.9276401, 35.9564421], [-83.9277362, 35.9566114]]]}"
Hess Hall,"{""rings"": [[[-83.9306739, 35.9547105], [-83.9305866, 35.9547814], [-83.9305231, 35.9548264], [-83.930464, 35.9547714], [-83.9304704, 35.954761], [-83.9303449, 35.9546457], [-83.9303034, 35.9546104], [-83.9302926, 35.9546158], [-83.9302347, 35.9545621], [-83.9303898, 35.9544484], [-83.9303968, 35.9544521], [-83.9304527, 35.9544089], [-83.9303479, 35.9543085], [-83.9304099, 35.9542625], [-83.930418, 35.9542679], [-83.9306437, 35.9541061], [-83.9308927, 35.9539275], [-83.9308829, 35.9539171], [-83.9309455, 35.9538722], [-83.9313305, 35.9542101], [-83.9315867, 35.9540293], [-83.9315584, 35.9540033], [-83.9316315, 35.953955], [-83.9313428, 35.9536932], [-83.9310842, 35.953869], [-83.931003, 35.9537906], [-83.9312557, 35.9536153], [-83.9312263, 35.9535867], [-83.9313243, 35.9535127], [-83.9314227, 35.9536048], [-83.931781, 35.9539352], [-83.9317936, 35.9539259], [-83.931884, 35.9540084], [-83.9318319, 35.9540491], [-83.9317926, 35.9540154], [-83.9310641, 35.954546], [-83.9310358, 35.9545666], [-83.9309517, 35.9544869], [-83.9311709, 35.9543283], [-83.931146, 35.954303], [-83.9312072, 35.9542595], [-83.9310693, 35.9541262], [-83.9310929, 35.9541079], [-83.9309645, 35.9539907], [-83.9309039, 35.9540306], [-83.9308923, 35.9540212], [-83.9307717, 35.9541061], [-83.9307835, 35.9541175], [-83.9306631, 35.9542023], [-83.9306566, 35.9541946], [-83.930532, 35.9542807], [-83.9305402, 35.9542924], [-83.9304877, 35.954333], [-83.9305548, 35.9544013], [-83.9305723, 35.9543896], [-83.9306048, 35.9544213], [-83.9305924, 35.95443], [-83.9306193, 35.9544487], [-83.9305534, 35.9544957], [-83.9304884, 35.9544363], [-83.93043, 35.9544801], [-83.9304497, 35.9545021], [-83.9303699, 35.9545591], [-83.9304213, 35.9546073], [-83.9304354, 35.9545998], [-83.9304976, 35.9546595], [-83.9304877, 35.9546677], [-83.9305403, 35.954713], [-83.9306186, 35.9546563], [-83.9306429, 35.9546749], [-83.9306985, 35.9546332], [-83.9306659, 35.9546039], [-83.9307522, 35.9545445], [-83.9308354, 35.954483], [-83.9309103, 35.9545597], [-83.9308704, 35.9545864], [-83.9308608, 35.9545768], [-83.9308059, 35.9546188], [-83.930825, 35.9546422], [-83.9308724, 35.9546842], [-83.9308026, 35.9547344], [-83.9307293, 35.9546618], [-83.9306739, 35.9547105]]]}"
Dabney-Buehler Hall,"{""rings"": [[[-83.9246025, 35.9576075], [-83.924765, 35.9578638], [-83.9248041, 35.9578488], [-83.9248352, 35.9579037], [-83.925009, 35.9578317], [-83.9249397, 35.9577308], [-83.9247659, 35.9578023], [-83.9246972, 35.9576928], [-83.9247695, 35.9576631], [-83.9247785, 35.9576773], [-83.924874, 35.957638], [-83.9248015, 35.9575226], [-83.9249144, 35.9574761], [-83.9250827, 35.9577441], [-83.9252837, 35.9580642], [-83.9252533, 35.9580767], [-83.9253114, 35.9581691], [-83.925339, 35.9581577], [-83.9253282, 35.9581406], [-83.9254006, 35.9581213], [-83.9254364, 35.9581679], [-83.9253559, 35.958201], [-83.9253448, 35.9581833], [-83.9253191, 35.9581938], [-83.9253662, 35.9582688], [-83.9254903, 35.9582178], [-83.9256403, 35.9584567], [-83.9255112, 35.9585098], [-83.9255033, 35.9584971], [-83.9254696, 35.958511], [-83.9254863, 35.9585375], [-83.9254519, 35.9585517], [-83.9254353, 35.9585252], [-83.92522, 35.9586138], [-83.9251803, 35.9585505], [-83.9251685, 35.9585316], [-83.9250013, 35.9586004], [-83.9247663, 35.9582262], [-83.9248311, 35.9581996], [-83.9246975, 35.9579869], [-83.9247203, 35.9579775], [-83.9247035, 35.9579507], [-83.9247195, 35.9579441], [-83.9246893, 35.9578961], [-83.9245907, 35.9579367], [-83.9244332, 35.9576745], [-83.9246025, 35.9576075]]]}"
Black Cultural Center,"{""rings"": [[[-83.9323414, 35.9537133], [-83.9322319, 35.9537751], [-83.9321168, 35.9536339], [-83.9319107, 35.9537446], [-83.9318321, 35.9536486], [-83.9321574, 35.9534752], [-83.9323414, 35.9537133]]]}"
Dunford Hall,"{""rings"": [[[-83.9307046, 35.9560149], [-83.9306206, 35.9560442], [-83.9306241, 35.9560508], [-83.9305846, 35.9560645], [-83.9305876, 35.9560702], [-83.9304249, 35.9561269], [-83.9304297, 35.9561358], [-83.9302936, 35.9561832], [-83.9302884, 35.9561733], [-83.930127, 35.9562295], [-83.9301248, 35.9562254], [-83.930083, 35.95624], [-83.9300803, 35.956235], [-83.9300069, 35.9562606], [-83.9299583, 35.9561691], [-83.9299838, 35.9561602], [-83.9298567, 35.9559214], [-83.9299819, 35.9558778], [-83.9300737, 35.9560503], [-83.9304634, 35.9559145], [-83.9304995, 35.9559825], [-83.930658, 35.9559273], [-83.9307046, 35.9560149]]]}"
International House,"{""rings"": [[[-83.9317979, 35.9549129], [-83.9316382, 35.9550044], [-83.9316684, 35.9550389], [-83.9315348, 35.9551155], [-83.9314936, 35.9550684], [-83.9313915, 35.9549517], [-83.9316848, 35.9547836], [-83.9317979, 35.9549129]]]}"
11th Street Parking Garage,"{""rings"": [[[-83.9258089, 35.9600417], [-83.9256489, 35.9601039], [-83.9256512, 35.9601093], [-83.925458, 35.9601855], [-83.9254532, 35.9601786], [-83.9253837, 35.9602081], [-83.9253862, 35.9602137], [-83.9252899, 35.9602502], [-83.9252557, 35.9601931], [-83.9252616, 35.9601893], [-83.9251639, 35.9600191], [-83.9251571, 35.9600203], [-83.9249096, 35.9595883], [-83.9248104, 35.9594169], [-83.9253272, 35.959218], [-83.9254033, 35.9593487], [-83.9254219, 35.9593806], [-83.9255513, 35.9596016], [-83.9255835, 35.9596566], [-83.9258089, 35.9600417]]]}"
Goodfriend Tennis Stadium,"{""rings"": [[[-83.9368298, 35.9514523], [-83.9371543, 35.9517781], [-83.9367705, 35.9520302], [-83.9360775, 35.9513431], [-83.9364292, 35.9510984], [-83.9364382, 35.9511044], [-83.9365593, 35.9510243], [-83.9369163, 35.9513972], [-83.9368298, 35.9514523]]]}"
Howard H. Baker Jr. Center for Public Policy,"{""rings"": [[[-83.9320962, 35.9563224], [-83.9319354, 35.9563802], [-83.9319328, 35.9563754], [-83.9319198, 35.95638], [-83.9319223, 35.9563847], [-83.9318216, 35.9564208], [-83.9318233, 35.9564333], [-83.9318223, 35.9564458], [-83.9318203, 35.9564581], [-83.9318156, 35.9564699], [-83.9318104, 35.956481], [-83.9318017, 35.9564913], [-83.9317918, 35.9565009], [-83.9317793, 35.9565093], [-83.9318248, 35.9565912], [-83.9317943, 35.9566023], [-83.9318028, 35.9566176], [-83.9316726, 35.9566651], [-83.9316643, 35.95665], [-83.9316369, 35.95666], [-83.9316056, 35.9566037], [-83.9315633, 35.9566191], [-83.9315091, 35.9565214], [-83.931553, 35.9565054], [-83.9315448, 35.9564907], [-83.931526, 35.9564975], [-83.9314681, 35.9563931], [-83.9314865, 35.9563864], [-83.9314609, 35.9563402], [-83.9316081, 35.9562867], [-83.9316101, 35.9562904], [-83.9316429, 35.9562785], [-83.9316406, 35.9562744], [-83.9318021, 35.9562161], [-83.9318152, 35.9562399], [-83.9320104, 35.9561695], [-83.9320238, 35.9561937], [-83.9320425, 35.956187], [-83.9320988, 35.9562895], [-83.9320816, 35.9562957], [-83.9320962, 35.9563224]]]}"
Plant Biotechnology Building,"{""rings"": [[[-83.9411925, 35.948297], [-83.9409258, 35.9484413], [-83.9407362, 35.9482132], [-83.9413304, 35.9478893], [-83.9415227, 35.9480784], [-83.9416628, 35.947992], [-83.9418637, 35.9482172], [-83.9413652, 35.948498], [-83.9411925, 35.948297]]]}"
Scottish Rite Temple,"{""rings"": [[[-83.9308164, 35.9587422], [-83.930809, 35.9587449], [-83.9303722, 35.9589046], [-83.9302243, 35.9586385], [-83.9303465, 35.9585933], [-83.9303101, 35.9585286], [-83.9303051, 35.9585197], [-83.9305082, 35.958445], [-83.9305711, 35.9584219], [-83.9306127, 35.9584976], [-83.9306638, 35.9584808], [-83.9306685, 35.9584793], [-83.9306722, 35.9584859], [-83.9307026, 35.95854], [-83.9307821, 35.9586812], [-83.930811, 35.9587325], [-83.9308164, 35.9587422]]]}"
Stokely Management Center,"{""rings"": [[[-83.9288201, 35.9560446], [-83.9288453, 35.9560519], [-83.9290192, 35.9561046], [-83.9290906, 35.9561263], [-83.9292892, 35.9561865], [-83.9293023, 35.9561922], [-83.9293164, 35.9562024], [-83.9293269, 35.9562132], [-83.9293353, 35.9562252], [-83.929341, 35.9562383], [-83.9293441, 35.9562518], [-83.9293442, 35.9562672], [-83.9293394, 35.9562863], [-83.9293292, 35.9563026], [-83.9293153, 35.9563166], [-83.9292996, 35.9563265], [-83.9292829, 35.9563347], [-83.9292633, 35.9563387], [-83.9292455, 35.9563392], [-83.9292239, 35.9563383], [-83.9290065, 35.9562712], [-83.9290034, 35.9562778], [-83.9289995, 35.9562862], [-83.9290297, 35.9562967], [-83.9290422, 35.9563066], [-83.9290479, 35.9563185], [-83.9290497, 35.9563317], [-83.9290499, 35.9563442], [-83.9290461, 35.9563536], [-83.929037, 35.9563643], [-83.9290247, 35.956373], [-83.92901, 35.9563777], [-83.928993, 35.95638], [-83.9289798, 35.9563791], [-83.9289022, 35.9563556], [-83.9288893, 35.9563504], [-83.928881, 35.956344], [-83.9288748, 35.956336], [-83.9288699, 35.9563279], [-83.9288678, 35.9563159], [-83.9288684, 35.9563013], [-83.9288756, 35.9562887], [-83.928884, 35.9562794], [-83.928894, 35.9562726], [-83.9289037, 35.9562691], [-83.9289141, 35.956266], [-83.9289254, 35.9562651], [-83.9289367, 35.9562665], [-83.9289558, 35.9562719], [-83.928963, 35.9562591], [-83.9287529, 35.9561967], [-83.9287338, 35.9561884], [-83.9287197, 35.956179], [-83.9287111, 35.9561688], [-83.9286995, 35.9561515], [-83.9286941, 35.9561379], [-83.9286929, 35.9561213], [-83.9286955, 35.9561053], [-83.9287019, 35.9560904], [-83.9287121, 35.9560766], [-83.9287213, 35.9560672], [-83.9287309, 35.9560584], [-83.9287462, 35.9560505], [-83.9287634, 35.956046], [-83.9287822, 35.9560422], [-83.9288013, 35.9560417], [-83.9288201, 35.9560446]]]}"
Blount Hall,"{""rings"": [[[-83.9296634, 35.9585099], [-83.9296522, 35.958514], [-83.9296571, 35.9585228], [-83.9296447, 35.9585273], [-83.9296491, 35.9585351], [-83.9296022, 35.9585522], [-83.9295984, 35.9585454], [-83.92956, 35.9585594], [-83.9295647, 35.9585678], [-83.9295136, 35.9585866], [-83.9295086, 35.9585778], [-83.9294965, 35.9585824], [-83.929492, 35.9585744], [-83.929482, 35.9585781], [-83.9294635, 35.9585453], [-83.929474, 35.9585414], [-83.929472, 35.9585379], [-83.9293874, 35.9585691], [-83.9293628, 35.9585782], [-83.9293384, 35.9585872], [-83.9292504, 35.9586197], [-83.9292531, 35.9586244], [-83.9292632, 35.9586207], [-83.9292796, 35.9586497], [-83.9292693, 35.9586535], [-83.9292744, 35.9586626], [-83.9292643, 35.9586663], [-83.9292681, 35.9586732], [-83.9292193, 35.9586914], [-83.9292152, 35.9586843], [-83.9291766, 35.9586986], [-83.9291812, 35.9587068], [-83.9291326, 35.9587248], [-83.9291266, 35.9587142], [-83.9291161, 35.9587181], [-83.929111, 35.9587091], [-83.9291012, 35.9587127], [-83.9290828, 35.9586801], [-83.9290912, 35.958677], [-83.9290837, 35.9586638], [-83.9290199, 35.9586874], [-83.9290015, 35.9586549], [-83.9290634, 35.958632], [-83.929058, 35.9586223], [-83.9290491, 35.9586256], [-83.9290399, 35.9586094], [-83.9290274, 35.9585872], [-83.9290386, 35.9585831], [-83.9290342, 35.9585752], [-83.9290462, 35.9585708], [-83.9290414, 35.9585624], [-83.9290916, 35.9585438], [-83.9290971, 35.9585534], [-83.9291382, 35.9585382], [-83.9291343, 35.9585312], [-83.92918, 35.9585143], [-83.9291842, 35.9585218], [-83.9292839, 35.9584849], [-83.9292633, 35.9584483], [-83.9293139, 35.9584296], [-83.9293348, 35.9584666], [-83.9294303, 35.9584313], [-83.9294265, 35.9584246], [-83.9294733, 35.9584073], [-83.9294782, 35.958416], [-83.9295201, 35.9584006], [-83.9295155, 35.9583924], [-83.9295625, 35.9583751], [-83.929567, 35.9583831], [-83.9295777, 35.9583792], [-83.9295823, 35.9583876], [-83.9295926, 35.9583839], [-83.9296119, 35.9584186], [-83.9296029, 35.9584219], [-83.9296345, 35.9584784], [-83.9296439, 35.958475], [-83.9296634, 35.9585099]]]}"
Senter Hall,"{""rings"": [[[-83.9289354, 35.9593549], [-83.9282751, 35.9596122], [-83.9281675, 35.959431], [-83.9284614, 35.9593146], [-83.9284498, 35.9592987], [-83.928121, 35.9594235], [-83.9280811, 35.9593606], [-83.928414, 35.9592311], [-83.9284491, 35.9592864], [-83.9285129, 35.9592594], [-83.9284944, 35.9592271], [-83.9287195, 35.9591328], [-83.9287594, 35.9591983], [-83.928827, 35.9591698], [-83.9289354, 35.9593549]]]}"
Textiles and Non-Wovens Development Center,"{""rings"": [[[-83.9280051, 35.9596932], [-83.9276575, 35.9598266], [-83.9275351, 35.9596177], [-83.9278827, 35.9594843], [-83.9280051, 35.9596932]]]}"
Textiles Processing Laboratory,"{""rings"": [[[-83.9286577, 35.958793], [-83.9285524, 35.9588214], [-83.9286501, 35.9589863], [-83.928748, 35.9589488], [-83.9286577, 35.958793]]]}"
Min H. Kao Electrical Engineering and Computer Science Building,"{""rings"": [[[-83.925, 35.9588076], [-83.924648, 35.958946], [-83.9245968, 35.9588638], [-83.9245492, 35.9588839], [-83.9245411, 35.9588704], [-83.9245214, 35.9588755], [-83.9244922, 35.95883], [-83.9244495, 35.9588451], [-83.9242627, 35.9585347], [-83.9241826, 35.9583993], [-83.9242367, 35.9583778], [-83.9244281, 35.9583021], [-83.9244461, 35.9583322], [-83.9245033, 35.9583144], [-83.9243771, 35.9581006], [-83.9244402, 35.9580718], [-83.9244269, 35.9580494], [-83.9245136, 35.958018], [-83.9246744, 35.9582841], [-83.9244678, 35.9583588], [-83.9245807, 35.9585454], [-83.9247932, 35.958471], [-83.925, 35.9588076]]]}"
Thompson-Boling Arena,"{""rings"": [[[-83.926335, 35.9508555], [-83.9262495, 35.9509789], [-83.9261441, 35.9509367], [-83.9258956, 35.951004], [-83.925752, 35.9510429], [-83.9257664, 35.9510865], [-83.9253703, 35.9517116], [-83.9253492, 35.9517179], [-83.9249118, 35.9518337], [-83.9244232, 35.9516366], [-83.9242578, 35.9512647], [-83.9246769, 35.9506248], [-83.924712, 35.9506135], [-83.9247046, 35.9505893], [-83.9247745, 35.9504783], [-83.9251486, 35.9503788], [-83.9256872, 35.9505927], [-83.9260625, 35.950745], [-83.92612, 35.9507683], [-83.926335, 35.9508555]]]}"
Natalie L. Haslam Music Center,"{""rings"": [[[-83.9308898, 35.9515641], [-83.9307277, 35.951715], [-83.930574, 35.9518224], [-83.9301761, 35.9521052], [-83.9301917, 35.952121], [-83.9301471, 35.9521491], [-83.9301805, 35.9521827], [-83.9302372, 35.9521435], [-83.9302487, 35.9521576], [-83.9302134, 35.952182], [-83.9303065, 35.9522756], [-83.9303234, 35.9522646], [-83.9303761, 35.9523191], [-83.9303485, 35.9523376], [-83.9304286, 35.9524148], [-83.9309108, 35.952075], [-83.9309942, 35.9520162], [-83.9310144, 35.9520425], [-83.9312159, 35.9518852], [-83.9312001, 35.9518725], [-83.9312338, 35.9518504], [-83.9311982, 35.9518128], [-83.931257, 35.9517672], [-83.9312335, 35.9517426], [-83.9312706, 35.9517148], [-83.9310745, 35.9515363], [-83.930944, 35.9516327], [-83.9309331, 35.9516235], [-83.9309483, 35.9516059], [-83.9308898, 35.9515641]]]}"
Fred D. Brown Hall,"{""rings"": [[[-83.9331811, 35.9525007], [-83.9331473, 35.9524784], [-83.9331716, 35.9524613], [-83.9331054, 35.9523979], [-83.9330818, 35.9524149], [-83.9330552, 35.9523886], [-83.9328571, 35.9525295], [-83.9327489, 35.9526081], [-83.9327665, 35.9526263], [-83.9325278, 35.9527842], [-83.9325108, 35.9527644], [-83.9325447, 35.952741], [-83.9324627, 35.9526725], [-83.9323527, 35.9527535], [-83.932342, 35.9527459], [-83.9318897, 35.953084], [-83.9319824, 35.9531672], [-83.9319149, 35.9532156], [-83.9318952, 35.9531978], [-83.9315918, 35.9534208], [-83.9316238, 35.953448], [-83.9315996, 35.9534649], [-83.9316675, 35.9535271], [-83.9316913, 35.9535108], [-83.9317212, 35.9535357], [-83.9320255, 35.9533147], [-83.9320154, 35.9533055], [-83.9320447, 35.9532888], [-83.9320655, 35.9533083], [-83.932268, 35.9531675], [-83.9323676, 35.9530931], [-83.932396, 35.9531208], [-83.9324287, 35.9530973], [-83.9324785, 35.9531386], [-83.932551, 35.9530887], [-83.9325046, 35.9530407], [-83.9325379, 35.9530165], [-83.9325203, 35.9529983], [-83.9328586, 35.9527561], [-83.9328311, 35.9527356], [-83.9328599, 35.9527135], [-83.9328751, 35.952726], [-83.9331811, 35.9525007]]]}"
Student Health Center,"{""rings"": [[[-83.9306864, 35.9500145], [-83.9304635, 35.95017], [-83.9305087, 35.9502147], [-83.9303522, 35.9503175], [-83.9303179, 35.9502844], [-83.9302806, 35.9503053], [-83.9303228, 35.9503454], [-83.9302207, 35.9504156], [-83.9303638, 35.9505453], [-83.9303332, 35.9505641], [-83.9304768, 35.9507011], [-83.9305099, 35.9506804], [-83.9305591, 35.9507226], [-83.9306781, 35.9506312], [-83.9307201, 35.950669], [-83.9307952, 35.9506474], [-83.9308731, 35.9506099], [-83.9309351, 35.950661], [-83.931019, 35.9506086], [-83.9310749, 35.9505503], [-83.9310717, 35.9505419], [-83.9311497, 35.9504876], [-83.9312415, 35.950428], [-83.9311653, 35.9503534], [-83.9311533, 35.9503625], [-83.9311103, 35.9503258], [-83.9311287, 35.9503138], [-83.9310975, 35.950282], [-83.9310316, 35.9503322], [-83.9306864, 35.9500145]]]}"
Hearing and Speech Center,"{""rings"": [[[-83.9261184, 35.9539668], [-83.926073, 35.953924], [-83.9261553, 35.953867], [-83.926294, 35.9539893], [-83.9262077, 35.9540466], [-83.9261901, 35.9540306], [-83.9260621, 35.9541146], [-83.9260879, 35.9541364], [-83.9260013, 35.9541938], [-83.9258626, 35.9540691], [-83.9259397, 35.9540192], [-83.9259813, 35.9540547], [-83.9261184, 35.9539668]]]}"
Volunteer Hall Apartments,"{""rings"": [[[-83.9306947, 35.9588159], [-83.9308242, 35.9590448], [-83.9307944, 35.9590559], [-83.9308121, 35.9590871], [-83.9304817, 35.95921], [-83.9303703, 35.9592514], [-83.9302352, 35.9593016], [-83.9301851, 35.9593203], [-83.9301146, 35.9593464], [-83.9300916, 35.959355], [-83.9300534, 35.9593692], [-83.9300509, 35.9593753], [-83.9300295, 35.9593835], [-83.9300216, 35.9593808], [-83.9299812, 35.9593946], [-83.9299625, 35.9594016], [-83.9299479, 35.9594071], [-83.9299315, 35.9594131], [-83.9298897, 35.9594269], [-83.9298869, 35.9594351], [-83.9298661, 35.9594427], [-83.9298525, 35.9594401], [-83.9297262, 35.9594886], [-83.9297215, 35.9594977], [-83.9297, 35.9595062], [-83.9296871, 35.9595036], [-83.9296527, 35.959516], [-83.9296551, 35.9595205], [-83.9296456, 35.9595239], [-83.9296324, 35.9595287], [-83.9296168, 35.9595343], [-83.929603, 35.9595393], [-83.9295943, 35.9595424], [-83.9295865, 35.9595284], [-83.9295372, 35.959546], [-83.9295354, 35.9595427], [-83.9295245, 35.9595469], [-83.9294891, 35.9595599], [-83.929475, 35.9595652], [-83.9293327, 35.9593085], [-83.9294988, 35.9592485], [-83.9295133, 35.9592749], [-83.929545, 35.9592635], [-83.9295884, 35.9593424], [-83.9296624, 35.9593158], [-83.9296779, 35.9593441], [-83.9297412, 35.9593213], [-83.929725, 35.9592918], [-83.9298353, 35.9592521], [-83.9298513, 35.9592811], [-83.9299087, 35.9592604], [-83.9298923, 35.9592306], [-83.9300032, 35.9591907], [-83.9300128, 35.9592081], [-83.9300417, 35.9591977], [-83.9300307, 35.9591777], [-83.9300584, 35.9591678], [-83.9300223, 35.9591019], [-83.9300589, 35.9590888], [-83.9300322, 35.9590402], [-83.9299959, 35.9590532], [-83.9299793, 35.9590229], [-83.9299657, 35.9590191], [-83.9299581, 35.9590042], [-83.9299623, 35.9589934], [-83.9299453, 35.9589632], [-83.9299835, 35.9589491], [-83.9299547, 35.9588981], [-83.9299192, 35.9589112], [-83.9298837, 35.9588481], [-83.9298216, 35.958871], [-83.9298349, 35.9588946], [-83.9296934, 35.9589468], [-83.9297204, 35.9589947], [-83.9296309, 35.9590277], [-83.9296259, 35.9590187], [-83.9295675, 35.9590401], [-83.9295731, 35.9590502], [-83.9294306, 35.9591024], [-83.9293882, 35.9590266], [-83.9293787, 35.9590301], [-83.9293543, 35.959039], [-83.9293166, 35.9589715], [-83.929337, 35.9589641], [-83.9292981, 35.9588945], [-83.9298794, 35.9586819], [-83.9299572, 35.9586534], [-83.9299731, 35.9586818], [-83.9300048, 35.9586702], [-83.930007, 35.9586741], [-83.9300331, 35.9587208], [-83.9300121, 35.9587285], [-83.9300299, 35.9587603], [-83.9300663, 35.9587469], [-83.9301177, 35.9588387], [-83.9300795, 35.9588527], [-83.9301073, 35.9589023], [-83.9301436, 35.958889], [-83.9301941, 35.9589791], [-83.9301562, 35.958993], [-83.9301849, 35.9590442], [-83.9302199, 35.9590313], [-83.930257, 35.9590973], [-83.9303265, 35.9590718], [-83.9303424, 35.9591001], [-83.9304061, 35.9590766], [-83.9303892, 35.9590466], [-83.930501, 35.9590054], [-83.9305174, 35.9590346], [-83.9305534, 35.9590213], [-83.9304908, 35.9589103], [-83.9305275, 35.9588967], [-83.9305187, 35.9588812], [-83.9306947, 35.9588159]]]}"
J.D. Tickle Engineering Building,"{""rings"": [[[-83.9229607, 35.9555571], [-83.9229446, 35.9555527], [-83.922924, 35.9555937], [-83.9229576, 35.9556048], [-83.922803, 35.9559209], [-83.9227972, 35.9559192], [-83.9227804, 35.9559371], [-83.9227997, 35.95595], [-83.9227813, 35.9559652], [-83.9227596, 35.9559503], [-83.9227096, 35.9559989], [-83.9227331, 35.9560137], [-83.9226602, 35.9560849], [-83.9226113, 35.9560526], [-83.9226809, 35.955986], [-83.9226633, 35.9559739], [-83.9226455, 35.9559617], [-83.922641, 35.9559665], [-83.9226325, 35.9559603], [-83.9226131, 35.9559798], [-83.9225395, 35.9559298], [-83.9225006, 35.9559186], [-83.9225071, 35.9559066], [-83.9224876, 35.9558943], [-83.9225327, 35.9558509], [-83.9225371, 35.9558414], [-83.9224061, 35.9557985], [-83.9226001, 35.9553929], [-83.9227534, 35.9554431], [-83.9227507, 35.9554496], [-83.9228061, 35.9554666], [-83.9227977, 35.955485], [-83.9229128, 35.9555209], [-83.9229448, 35.9554507], [-83.9230031, 35.955469], [-83.9229607, 35.9555571]]]}"
Sophronia Strong Hall,"{""rings"": [[[-83.9318883, 35.9577537], [-83.9319131, 35.9577446], [-83.9315707, 35.9571217], [-83.9312545, 35.9572784], [-83.9312383, 35.9572486], [-83.93116, 35.957278], [-83.9311946, 35.9573395], [-83.9310843, 35.9573827], [-83.9311127, 35.9574382], [-83.9311374, 35.9574282], [-83.9311661, 35.9574751], [-83.931151, 35.9574828], [-83.9311325, 35.9574691], [-83.9311136, 35.957459], [-83.9310896, 35.9574504], [-83.9310624, 35.9574464], [-83.9310313, 35.9574441], [-83.9310019, 35.9574471], [-83.9309632, 35.9574541], [-83.9309297, 35.9574662], [-83.9309008, 35.957481], [-83.9308783, 35.9574997], [-83.930857, 35.9575232], [-83.9308442, 35.9575451], [-83.9308372, 35.9575746], [-83.9308367, 35.9576026], [-83.9308456, 35.9576298], [-83.9308592, 35.9576496], [-83.9308745, 35.9576646], [-83.9308952, 35.9576789], [-83.9309199, 35.9576881], [-83.9309489, 35.9576958], [-83.930983, 35.9576989], [-83.9310226, 35.9576968], [-83.9310329, 35.9577164], [-83.9312772, 35.9576287], [-83.9313057, 35.9576797], [-83.9312352, 35.9577027], [-83.93129, 35.9577982], [-83.9313222, 35.9577824], [-83.9313348, 35.9578024], [-83.931426, 35.9577657], [-83.9314782, 35.9578609], [-83.9315441, 35.9578386], [-83.9315635, 35.9578652], [-83.9318883, 35.9577537]]]}"
Volunteer Blvd Parking Garage (G16),"{""rings"": [[[-83.9303337, 35.9510636], [-83.9299505, 35.9507132], [-83.9291022, 35.9513212], [-83.9291633, 35.9513771], [-83.9294853, 35.9516715], [-83.9296007, 35.9515888], [-83.9296251, 35.9515713], [-83.9301694, 35.9511813], [-83.9301914, 35.9511655], [-83.9303337, 35.9510636]]]}"
Stokely Hall,"{""rings"": [[[-83.9288257, 35.9521863], [-83.9287956, 35.9521592], [-83.9287512, 35.9521915], [-83.9286608, 35.9521102], [-83.9286791, 35.9520969], [-83.9286241, 35.9520475], [-83.928779, 35.9519345], [-83.9286922, 35.9518565], [-83.9287347, 35.9518255], [-83.9285264, 35.9516385], [-83.9285576, 35.9516158], [-83.9285249, 35.9515865], [-83.928337, 35.9517237], [-83.9283017, 35.9516921], [-83.9282675, 35.9517171], [-83.9281963, 35.9516533], [-83.9282334, 35.9516262], [-83.9282055, 35.9516011], [-83.9286799, 35.9512548], [-83.9287131, 35.9512845], [-83.9287637, 35.9512476], [-83.9288376, 35.951314], [-83.9288255, 35.9513299], [-83.9291771, 35.9516468], [-83.9292531, 35.9515916], [-83.9294274, 35.9517488], [-83.9288257, 35.9521863]]]}"
